PCID,SMILES,Feature,Feature_half,VINA,Tanimoto_48,Tanimoto_52,Tanimoto_68,Tanimoto_69
7020,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3O2,"[-2.1092469692230225, -3.3150482177734375, 0.582613468170166, 2.841373920440674, -0.14512017369270325, 0.7140305042266846, 0.6634621620178223, 3.5621097087860107, 0.7286214828491211, -0.0590461790561676, -2.393948793411255, -0.25760647654533386, -1.3143577575683594, -1.3360236883163452, 1.7280335426330566, -0.021247096359729767, -0.5875298976898193, -1.3762141466140747, 2.006152629852295, 1.386979103088379, -0.10234016925096512, -0.4278956949710846, -0.4597129225730896, -0.20006470382213593, -3.750257968902588, -2.485391855239868, -1.8141357898712158, 1.248100757598877, 0.4072841703891754, -1.0260746479034424, 0.29031527042388916, -0.2639041841030121, 0.8371571898460388, -0.7475011944770813, 0.3274243474006653, 0.29831555485725403, 0.23949730396270752, -0.06008239835500717, 0.5034875273704529, -0.25452953577041626, 0.5805915594100952, 0.8391052484512329, -0.39934325218200684, 0.5171437859535217, -0.34137991070747375, -0.3437817096710205, 0.6221311688423157, -0.2330513745546341, -0.5586448311805725, -0.169260174036026, 0.21496054530143738, -0.6017373204231262, 0.01862436532974243, -0.46104007959365845, -0.15599611401557922, 0.012099042534828186]","[0.4072841703891754, -1.0260746479034424, 0.29031527042388916, -0.2639041841030121, 0.8371571898460388, -0.7475011944770813, 0.3274243474006653, 0.29831555485725403, 0.23949730396270752, -0.06008239835500717, 0.5034875273704529, -0.25452953577041626, 0.5805915594100952, 0.8391052484512329, -0.39934325218200684, 0.5171437859535217, -0.34137991070747375, -0.3437817096710205, 0.6221311688423157, -0.2330513745546341, -0.5586448311805725, -0.169260174036026, 0.21496054530143738, -0.6017373204231262, 0.01862436532974243, -0.46104007959365845, -0.15599611401557922, 0.012099042534828186]",-6.7,0.211538462,0.116666667,0.127272727,0.318181818
7546,C1=CC=C(C=C1)NC2=CC(=CC=C2)O,"[-2.4910340309143066, 0.8496899008750916, -0.3631042242050171, -0.25466442108154297, -2.580601453781128, -1.1188817024230957, -0.6355781555175781, 1.2480390071868896, 2.432872772216797, -0.035965681076049805, -2.0882952213287354, 0.6723831295967102, -0.8701651096343994, -2.152973175048828, -1.989936113357544, -1.829620599746704, -0.31919580698013306, -0.8780848383903503, 0.7913318872451782, -2.0621731281280518, 1.0275310277938843, 1.425001621246338, -1.6186872720718384, -0.3328900933265686, -3.381176471710205, 0.0407494455575943, -0.42391693592071533, 2.6587986946105957, -0.0005320347845554352, -0.10060214251279831, 0.41214948892593384, 0.3660039007663727, -0.01456291601061821, -0.12932933866977692, -0.09166811406612396, 0.548861026763916, -0.3718004822731018, 0.3492177724838257, -0.48444968461990356, -0.05154847353696823, 0.441405713558197, -0.15877534449100494, 0.5871395468711853, 0.11508350074291229, 0.3798943758010864, 0.08449405431747437, 0.1343550682067871, -0.03455974906682968, -0.8058539628982544, 0.5434349775314331, 0.3192394971847534, 0.07204265147447586, -0.6734352111816406, -0.2768919765949249, -0.021369870752096176, 0.8395626544952393]","[-0.0005320347845554352, -0.10060214251279831, 0.41214948892593384, 0.3660039007663727, -0.01456291601061821, -0.12932933866977692, -0.09166811406612396, 0.548861026763916, -0.3718004822731018, 0.3492177724838257, -0.48444968461990356, -0.05154847353696823, 0.441405713558197, -0.15877534449100494, 0.5871395468711853, 0.11508350074291229, 0.3798943758010864, 0.08449405431747437, 0.1343550682067871, -0.03455974906682968, -0.8058539628982544, 0.5434349775314331, 0.3192394971847534, 0.07204265147447586, -0.6734352111816406, -0.2768919765949249, -0.021369870752096176, 0.8395626544952393]",-5.9,0.1,0.129032258,0.326530612,0.109090909
10378,C1=CC=C(C=C1)NC(=O)C(=O)O,"[-2.992584466934204, 1.764596939086914, -2.355886936187744, 1.052524447441101, -2.0097780227661133, -0.1251632124185562, -1.4339016675949097, 2.628714084625244, -0.2953700125217438, 1.0085463523864746, -1.752395510673523, 2.5028982162475586, -1.728785753250122, -1.8267921209335327, -1.5341877937316895, -0.5642700791358948, 1.146278977394104, 0.14790277183055878, 0.8522392511367798, -2.80159592628479, -0.6635373830795288, 0.8554925918579102, -1.8760876655578613, -0.33163782954216003, -0.5904059410095215, -0.035306476056575775, 0.013711284846067429, 3.4990265369415283, -0.11130861937999725, -0.15471875667572021, 0.2880745530128479, -0.04869911074638367, 0.660417914390564, -0.24389921128749847, -0.03274306654930115, 0.02843778394162655, 0.10877074301242828, -0.14870721101760864, -0.013768788427114487, -0.16641758382320404, 0.1250585913658142, 0.14915227890014648, -0.2622221112251282, 0.25898024439811707, 0.13904091715812683, -0.1585494875907898, 0.14092200994491577, -0.09149251133203506, -0.2303636521100998, 0.24522709846496582, 0.2836853265762329, 0.04727891832590103, -0.014592897146940231, 0.08769108355045319, -0.05966861546039581, 0.1949566751718521]","[-0.11130861937999725, -0.15471875667572021, 0.2880745530128479, -0.04869911074638367, 0.660417914390564, -0.24389921128749847, -0.03274306654930115, 0.02843778394162655, 0.10877074301242828, -0.14870721101760864, -0.013768788427114487, -0.16641758382320404, 0.1250585913658142, 0.14915227890014648, -0.2622221112251282, 0.25898024439811707, 0.13904091715812683, -0.1585494875907898, 0.14092200994491577, -0.09149251133203506, -0.2303636521100998, 0.24522709846496582, 0.2836853265762329, 0.04727891832590103, -0.014592897146940231, 0.08769108355045319, -0.05966861546039581, 0.1949566751718521]",-5.7,0.122807018,0.133333333,0.3125,0.134615385
11349,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,"[-2.2389461994171143, -3.1915671825408936, -0.6516379714012146, 1.7337063550949097, 0.035210639238357544, 1.2423127889633179, -1.1201515197753906, 4.133424758911133, 1.8190659284591675, -0.4250097870826721, -0.60531085729599, 2.856755018234253, -1.7154511213302612, -3.8457233905792236, -2.3432114124298096, -0.8882498741149902, -1.475727915763855, -0.6836135387420654, 2.062466859817505, 0.036135025322437286, 0.2585597634315491, 0.04438765347003937, 0.15314805507659912, -0.817283570766449, -2.5157878398895264, -1.568945288658142, -1.7231391668319702, -0.5990409851074219, 0.22089172899723053, -1.2458657026290894, -0.06568795442581177, -0.1483984887599945, 0.8523237705230713, -0.6286200881004333, 0.061438050121068954, -0.07745949178934097, 0.13277190923690796, -0.16944390535354614, 0.423010915517807, -0.3909302353858948, 0.24270743131637573, 0.6439399123191833, -0.8847435712814331, 0.39095139503479004, -0.08881180733442307, -0.12928850948810577, 0.38489362597465515, -0.9755786657333374, -0.4741917550563812, 0.32542499899864197, 0.3323554992675781, -0.3035525679588318, -0.19202837347984314, -0.3706885576248169, 0.19407391548156738, -0.3542042374610901]","[0.22089172899723053, -1.2458657026290894, -0.06568795442581177, -0.1483984887599945, 0.8523237705230713, -0.6286200881004333, 0.061438050121068954, -0.07745949178934097, 0.13277190923690796, -0.16944390535354614, 0.423010915517807, -0.3909302353858948, 0.24270743131637573, 0.6439399123191833, -0.8847435712814331, 0.39095139503479004, -0.08881180733442307, -0.12928850948810577, 0.38489362597465515, -0.9755786657333374, -0.4741917550563812, 0.32542499899864197, 0.3323554992675781, -0.3035525679588318, -0.19202837347984314, -0.3706885576248169, 0.19407391548156738, -0.3542042374610901]",-7.3,0.196721311,0.149253731,0.142857143,0.307692308
12124,CC(=O)NC1=CC(=CC=C1)O,"[-2.0477523803710938, -0.6364685893058777, -0.3571328818798065, 2.492299795150757, -2.5870749950408936, -1.324651837348938, -1.1461951732635498, 0.3930237293243408, 0.8047078847885132, 0.9846897125244141, 0.5616151094436646, -0.5098394155502319, -0.28811395168304443, -0.476143479347229, -2.3482165336608887, -1.15166437625885, -2.0259628295898438, 1.0489786863327026, 1.7369192838668823, 0.09442675858736038, 2.287414312362671, 0.46107757091522217, -0.6489235162734985, 2.196542501449585, -0.46308842301368713, -1.211310863494873, -0.17944347858428955, 1.8497511148452759, -0.10793931782245636, -0.4092198610305786, 0.5762625932693481, 0.2800852954387665, 0.13733485341072083, 0.0709233433008194, -0.22633232176303864, 0.5697324872016907, -0.6281998753547668, 0.5632693767547607, -0.4554905295372009, -0.10752024501562119, 0.5301153063774109, -0.34100109338760376, 0.725211501121521, 0.007456503808498383, 0.5585065484046936, 0.23888176679611206, 0.11439298838376999, 0.15141242742538452, -0.8418105244636536, 0.6544385552406311, 0.24791932106018066, 0.09445560723543167, -0.8290994167327881, -0.26745402812957764, 0.14350928366184235, 1.2407002449035645]","[-0.10793931782245636, -0.4092198610305786, 0.5762625932693481, 0.2800852954387665, 0.13733485341072083, 0.0709233433008194, -0.22633232176303864, 0.5697324872016907, -0.6281998753547668, 0.5632693767547607, -0.4554905295372009, -0.10752024501562119, 0.5301153063774109, -0.34100109338760376, 0.725211501121521, 0.007456503808498383, 0.5585065484046936, 0.23888176679611206, 0.11439298838376999, 0.15141242742538452, -0.8418105244636536, 0.6544385552406311, 0.24791932106018066, 0.09445560723543167, -0.8290994167327881, -0.26745402812957764, 0.14350928366184235, 1.2407002449035645]",-4.8,0.114754098,0.142857143,0.395833333,0.086206897
12796,C1=CC(=CC(=C1)O)NC(=O)N,"[-1.7223436832427979, 0.8926985859870911, -1.876090168952942, 0.29566097259521484, -4.374442100524902, -1.7339435815811157, -0.6521402597427368, 1.9078466892242432, 0.8901217579841614, 0.5810539126396179, -1.7973545789718628, 0.38288670778274536, -1.6998865604400635, -2.788482189178467, -2.6270205974578857, -0.9050759673118591, -0.053243380039930344, -0.8419651985168457, 0.21768058836460114, -3.249039888381958, 2.119377613067627, 1.9232529401779175, -2.361844062805176, -2.0051095485687256, -0.6813040971755981, -1.330544352531433, 0.23419931530952454, 3.835418701171875, -0.13882575929164886, -0.24876552820205688, 0.4976096451282501, 0.2176138311624527, 0.28333044052124023, -0.03980569913983345, -0.2506145238876343, 0.5780362486839294, -0.5154287815093994, 0.3935324251651764, -0.2281399369239807, -0.11003081500530243, 0.3667003810405731, -0.33211469650268555, 0.7362751364707947, 0.18268588185310364, 0.34158551692962646, 0.3226461410522461, 0.07485351711511612, 0.09290701150894165, -0.9608482718467712, 0.6439408659934998, 0.32109373807907104, 0.16538000106811523, -0.6679440140724182, -0.2863752841949463, 0.012556694447994232, 1.1459136009216309]","[-0.13882575929164886, -0.24876552820205688, 0.4976096451282501, 0.2176138311624527, 0.28333044052124023, -0.03980569913983345, -0.2506145238876343, 0.5780362486839294, -0.5154287815093994, 0.3935324251651764, -0.2281399369239807, -0.11003081500530243, 0.3667003810405731, -0.33211469650268555, 0.7362751364707947, 0.18268588185310364, 0.34158551692962646, 0.3226461410522461, 0.07485351711511612, 0.09290701150894165, -0.9608482718467712, 0.6439408659934998, 0.32109373807907104, 0.16538000106811523, -0.6679440140724182, -0.2863752841949463, 0.012556694447994232, 1.1459136009216309]",-5.1,0.112903226,0.123076923,0.387755102,0.084745763
23548,CCOC(=O)NC1=CC(=CC=C1)O,"[-1.0152374505996704, -0.6890847682952881, 1.319710373878479, 2.0162034034729004, -2.426954746246338, -1.9592642784118652, -1.9725549221038818, 0.8566641807556152, 1.390263557434082, 1.1274194717407227, 0.48952972888946533, 0.060184936970472336, -0.05568470060825348, -0.14796453714370728, -4.607102870941162, -0.411679208278656, -0.696724534034729, 2.028153657913208, 0.9623979330062866, -1.3228012323379517, 1.7542921304702759, 0.3863885998725891, -1.2488590478897095, 1.7540063858032227, -0.2776471972465515, -0.8996542692184448, 1.5753552913665771, 0.458697110414505, 0.17550741136074066, -0.2092747986316681, 0.5357818007469177, 0.3908349871635437, -0.05634402856230736, -0.023813404142856598, -0.07352100312709808, 0.6114903688430786, -0.3143097758293152, 0.3806317448616028, -0.3708801567554474, -0.14471694827079773, 0.3116839528083801, -0.17105801403522491, 0.5916315317153931, 0.21477185189723969, 0.4483959674835205, 0.11668694019317627, 0.1444789171218872, 0.09340770542621613, -0.8517956137657166, 0.5360040068626404, 0.18509937822818756, -0.01977449655532837, -0.7267320156097412, -0.19714710116386414, 0.11354093253612518, 0.9602342844009399]","[0.17550741136074066, -0.2092747986316681, 0.5357818007469177, 0.3908349871635437, -0.05634402856230736, -0.023813404142856598, -0.07352100312709808, 0.6114903688430786, -0.3143097758293152, 0.3806317448616028, -0.3708801567554474, -0.14471694827079773, 0.3116839528083801, -0.17105801403522491, 0.5916315317153931, 0.21477185189723969, 0.4483959674835205, 0.11668694019317627, 0.1444789171218872, 0.09340770542621613, -0.8517956137657166, 0.5360040068626404, 0.18509937822818756, -0.01977449655532837, -0.7267320156097412, -0.19714710116386414, 0.11354093253612518, 0.9602342844009399]",-5,0.153846154,0.144927536,0.345454545,0.076923077
26181,COC(=O)NC1=CC(=CC=C1)O,"[-0.36664238572120667, -0.5711199641227722, -0.017815757542848587, 1.8105671405792236, -4.326188564300537, -2.007063865661621, -2.4323184490203857, 0.27785298228263855, 0.515143096446991, -1.3873646259307861, -0.24304842948913574, 1.8573356866836548, 0.4061847925186157, -0.6044240593910217, -3.3410916328430176, -1.2038975954055786, -0.1614236682653427, 1.1803351640701294, 0.8801597356796265, -0.4097559154033661, 2.2991042137145996, 0.6363725066184998, -2.852327823638916, 1.5241049528121948, -0.539025604724884, -0.41449761390686035, 1.0760140419006348, 1.733392596244812, 0.16427750885486603, -0.2758912444114685, 0.572052538394928, 0.21091674268245697, -0.17903470993041992, 0.08482764661312103, -0.24600853025913239, 0.5834543108940125, -0.5056061744689941, 0.4182569086551666, -0.2999008297920227, -0.11941921710968018, 0.33700069785118103, -0.2907010316848755, 0.575314998626709, 0.10652203857898712, 0.24543917179107666, 0.2543259561061859, 0.06759902089834213, 0.10396043956279755, -0.9135205745697021, 0.5311888456344604, 0.20167924463748932, -0.10154856741428375, -0.7257311344146729, -0.047160036861896515, 0.06432412564754486, 1.0043712854385376]","[0.16427750885486603, -0.2758912444114685, 0.572052538394928, 0.21091674268245697, -0.17903470993041992, 0.08482764661312103, -0.24600853025913239, 0.5834543108940125, -0.5056061744689941, 0.4182569086551666, -0.2999008297920227, -0.11941921710968018, 0.33700069785118103, -0.2907010316848755, 0.575314998626709, 0.10652203857898712, 0.24543917179107666, 0.2543259561061859, 0.06759902089834213, 0.10396043956279755, -0.9135205745697021, 0.5311888456344604, 0.20167924463748932, -0.10154856741428375, -0.7257311344146729, -0.047160036861896515, 0.06432412564754486, 1.0043712854385376]",-4.6,0.126984127,0.136363636,0.37254902,0.081967213
26214,CC1=C2C(=CC=C1)C(=CN2)CN(C)C,"[-0.27942392230033875, -2.0373892784118652, -1.8940238952636719, 2.19228458404541, 1.6245741844177246, -0.264403373003006, 0.7859838008880615, 1.329230546951294, 1.415472388267517, -1.832036018371582, -0.27095091342926025, -3.557965040206909, -0.038189664483070374, 0.06786635518074036, -1.847028136253357, -2.3497493267059326, -2.1948964595794678, -2.8120081424713135, 2.6795547008514404, 1.2303036451339722, 0.2943223714828491, -1.9690879583358765, 0.0525393933057785, -0.11265810579061508, -1.305405855178833, 1.1969871520996094, 0.285810261964798, -0.8014191389083862, 0.4289427101612091, -0.36589160561561584, 0.2040834277868271, 0.7971127033233643, -0.3107546865940094, -1.1266835927963257, -0.07431581616401672, -0.03250682353973389, -0.909813642501831, -0.38266462087631226, 0.8836455941200256, -0.7274705767631531, 0.47993746399879456, 0.39259183406829834, -0.7630869150161743, 0.5491267442703247, 0.31170982122421265, -0.5807927846908569, 0.5659781694412231, 0.18526847660541534, 0.3866128623485565, -0.6187723875045776, 0.3580533266067505, -0.2203914225101471, 0.12585505843162537, 0.35063865780830383, -0.27981775999069214, -0.8794538974761963]","[0.4289427101612091, -0.36589160561561584, 0.2040834277868271, 0.7971127033233643, -0.3107546865940094, -1.1266835927963257, -0.07431581616401672, -0.03250682353973389, -0.909813642501831, -0.38266462087631226, 0.8836455941200256, -0.7274705767631531, 0.47993746399879456, 0.39259183406829834, -0.7630869150161743, 0.5491267442703247, 0.31170982122421265, -0.5807927846908569, 0.5659781694412231, 0.18526847660541534, 0.3866128623485565, -0.6187723875045776, 0.3580533266067505, -0.2203914225101471, 0.12585505843162537, 0.35063865780830383, -0.27981775999069214, -0.8794538974761963]",-5.5,0.174603175,0.322033898,0.106060606,0.112903226
26714,CC1=C2C(=CC=C1)C(=CN2)CCN,"[-0.7244789600372314, -0.44836753606796265, -1.285118579864502, 1.8525830507278442, 1.4996137619018555, -1.350467324256897, -0.1789926290512085, 2.92240571975708, 0.8058804273605347, -2.8846435546875, -0.8453394174575806, -2.255779504776001, -0.9942384362220764, -0.5349732637405396, -1.0820683240890503, -2.072274923324585, -3.099397659301758, -2.6338462829589844, 3.7477681636810303, 1.2397923469543457, 0.854375422000885, -2.528534412384033, 1.7584489583969116, -0.8042380809783936, -0.8567728996276855, 0.7525761127471924, -0.34518587589263916, -0.9821422100067139, 0.3257979452610016, -0.3225471079349518, 0.14349514245986938, 0.883910059928894, 0.07763306796550751, -1.179383635520935, -0.00822344422340393, -0.269534170627594, -1.0040686130523682, -0.2502286434173584, 1.0930726528167725, -0.8131099343299866, 0.4161098301410675, 0.34099245071411133, -0.7515435218811035, 0.5298280715942383, 0.3458010256290436, -0.5847194194793701, 0.6094588041305542, 0.14432275295257568, 0.4224487543106079, -0.7062171697616577, 0.5268996953964233, -0.07151862978935242, 0.25620466470718384, 0.3702812194824219, -0.2815658152103424, -0.941632866859436]","[0.3257979452610016, -0.3225471079349518, 0.14349514245986938, 0.883910059928894, 0.07763306796550751, -1.179383635520935, -0.00822344422340393, -0.269534170627594, -1.0040686130523682, -0.2502286434173584, 1.0930726528167725, -0.8131099343299866, 0.4161098301410675, 0.34099245071411133, -0.7515435218811035, 0.5298280715942383, 0.3458010256290436, -0.5847194194793701, 0.6094588041305542, 0.14432275295257568, 0.4224487543106079, -0.7062171697616577, 0.5268996953964233, -0.07151862978935242, 0.25620466470718384, 0.3702812194824219, -0.2815658152103424, -0.941632866859436]",-5.6,0.177419355,0.305084746,0.090909091,0.114754098
29887,C1CCC(CC1)OC(=O)NC2=CC(=CC=C2)O,"[0.9239936470985413, -1.5189026594161987, 2.074617624282837, 3.5948643684387207, -3.315422773361206, -0.79569011926651, 1.1934256553649902, -0.480985552072525, -2.120551586151123, 1.7698160409927368, 1.9752954244613647, 3.102653980255127, 1.78203547000885, -2.077364921569824, -1.6995080709457397, -0.9995518326759338, 1.222887635231018, 1.1809545755386353, 1.0235590934753418, -0.6922458410263062, 3.6646931171417236, 2.288355827331543, -1.6265097856521606, 0.41209179162979126, -2.0794270038604736, -1.8101232051849365, -0.7148391604423523, 0.5836248993873596, 0.08936533331871033, -0.27039971947669983, 0.5022688508033752, 0.32427191734313965, 0.16939274966716766, -0.12367856502532959, -0.05535581707954407, 0.5422616004943848, -0.2687566876411438, 0.20876795053482056, -0.37425127625465393, -0.20303350687026978, 0.37735190987586975, -0.05290977656841278, 0.4355773329734802, 0.16299337148666382, 0.27526840567588806, -0.009347021579742432, 0.14003704488277435, 0.1867285817861557, -0.6845710277557373, 0.5021318793296814, 0.19194075465202332, 0.01839900016784668, -0.5205035209655762, -0.15583935379981995, 0.1457565724849701, 0.8582165241241455]","[0.08936533331871033, -0.27039971947669983, 0.5022688508033752, 0.32427191734313965, 0.16939274966716766, -0.12367856502532959, -0.05535581707954407, 0.5422616004943848, -0.2687566876411438, 0.20876795053482056, -0.37425127625465393, -0.20303350687026978, 0.37735190987586975, -0.05290977656841278, 0.4355773329734802, 0.16299337148666382, 0.27526840567588806, -0.009347021579742432, 0.14003704488277435, 0.1867285817861557, -0.6845710277557373, 0.5021318793296814, 0.19194075465202332, 0.01839900016784668, -0.5205035209655762, -0.15583935379981995, 0.1457565724849701, 0.8582165241241455]",-6.1,0.097222222,0.136986301,0.368421053,0.088235294
30688,CCCC(=O)NC1=CC(=CC=C1)O,"[-3.477628231048584, 0.12843520939350128, 1.0751160383224487, 0.6040878295898438, 0.5249008536338806, -0.11830028891563416, -1.9220445156097412, 0.7433266639709473, 0.6142349243164062, 1.7629793882369995, 1.964982509613037, -0.8642473220825195, -0.2138693481683731, -2.0261759757995605, -4.697104454040527, -0.44093042612075806, -1.5883562564849854, 2.639009952545166, -0.004115063697099686, -2.0363712310791016, 1.4578486680984497, -0.6411858201026917, 1.6215747594833374, 0.9687389731407166, 0.5097171068191528, -0.6778027415275574, -0.0338875986635685, 0.18807277083396912, 0.18308669328689575, -0.24331435561180115, 0.4574716091156006, 0.4258911609649658, 0.0116579569876194, 0.010730896145105362, -0.00855700671672821, 0.6374020576477051, -0.28473907709121704, 0.41096803545951843, -0.39662688970565796, -0.1268150806427002, 0.3739427328109741, -0.11646910011768341, 0.682396411895752, 0.169077068567276, 0.566316545009613, 0.14632344245910645, 0.17101925611495972, 0.0780901089310646, -0.8045225143432617, 0.44339171051979065, 0.21323882043361664, -0.04181331396102905, -0.7979806661605835, -0.24930578470230103, 0.09920716285705566, 1.066263198852539]","[0.18308669328689575, -0.24331435561180115, 0.4574716091156006, 0.4258911609649658, 0.0116579569876194, 0.010730896145105362, -0.00855700671672821, 0.6374020576477051, -0.28473907709121704, 0.41096803545951843, -0.39662688970565796, -0.1268150806427002, 0.3739427328109741, -0.11646910011768341, 0.682396411895752, 0.169077068567276, 0.566316545009613, 0.14632344245910645, 0.17101925611495972, 0.0780901089310646, -0.8045225143432617, 0.44339171051979065, 0.21323882043361664, -0.04181331396102905, -0.7979806661605835, -0.24930578470230103, 0.09920716285705566, 1.066263198852539]",-5.2,0.138461538,0.147058824,0.351851852,0.095238095
66569,CC1=COC2=CC=CC=C2C1=O,"[-1.3242926597595215, -3.1317901611328125, 0.7414290904998779, 3.0087499618530273, -0.1266745626926422, -0.15192954242229462, 0.8641226291656494, 3.733999490737915, 2.327498435974121, -0.21673375368118286, 1.0441665649414062, 0.40063509345054626, -2.8232579231262207, -1.3073304891586304, -1.7399455308914185, -0.8331376910209656, -3.746190071105957, 2.1130661964416504, 2.3062307834625244, 1.9608104228973389, 2.0584452152252197, -3.5695652961730957, -0.006755203008651733, 2.7155230045318604, -1.2582716941833496, -0.25509876012802124, -0.3113062083721161, -1.1200705766677856, -0.3114039897918701, -1.2775830030441284, -0.2307414412498474, -0.07146020233631134, 0.2519947290420532, -0.6963343620300293, 0.2343650907278061, 0.1153285875916481, -0.19631685316562653, -0.4865333139896393, 0.5368528366088867, -0.644466757774353, 0.5450582504272461, 0.07013283669948578, -0.8677117228507996, 0.7945826053619385, -0.2785191535949707, -0.7460350394248962, 0.11161721497774124, -0.8948880434036255, -0.36062711477279663, -0.40261369943618774, 0.21981745958328247, -0.11752570420503616, -0.10587087273597717, -0.4890252351760864, -0.2273569405078888, -0.6507813930511475]","[-0.3114039897918701, -1.2775830030441284, -0.2307414412498474, -0.07146020233631134, 0.2519947290420532, -0.6963343620300293, 0.2343650907278061, 0.1153285875916481, -0.19631685316562653, -0.4865333139896393, 0.5368528366088867, -0.644466757774353, 0.5450582504272461, 0.07013283669948578, -0.8677117228507996, 0.7945826053619385, -0.2785191535949707, -0.7460350394248962, 0.11161721497774124, -0.8948880434036255, -0.36062711477279663, -0.40261369943618774, 0.21981745958328247, -0.11752570420503616, -0.10587087273597717, -0.4890252351760864, -0.2273569405078888, -0.6507813930511475]",-5.6,0.210526316,0.158730159,0.114754098,0.391304348
66857,C1=CC(=CC(=C1)NC(=O)C(=O)O)N,"[-3.5084047317504883, 2.438394546508789, -3.3091747760772705, 0.49683231115341187, -3.6596343517303467, -0.3323095142841339, -1.6083239316940308, 2.281909942626953, 0.21747377514839172, 1.7570464611053467, -1.646376609802246, 2.6165292263031006, -2.3451123237609863, -2.029554843902588, -1.7557638883590698, -2.3304412364959717, 0.22903934121131897, 0.727203369140625, 0.9599699378013611, -4.265143394470215, -0.6410826444625854, 1.385151743888855, -1.5556604862213135, -1.4820317029953003, 0.15938490629196167, 0.32511818408966064, 0.2649802267551422, 4.956974983215332, -0.1521325707435608, -0.503592848777771, 0.3541252613067627, 0.044872626662254333, 0.4068530201911926, 0.05991562083363533, -0.14808247983455658, 0.0694308876991272, -0.2959223985671997, 0.5042427182197571, -0.406011700630188, -0.04537704586982727, 0.4134478271007538, -0.39174264669418335, 0.3726930618286133, 0.029695935547351837, 0.6737937331199646, 0.45274317264556885, -0.037261106073856354, 0.0812506377696991, -0.7963412404060364, 0.3887011408805847, 0.2680981755256653, 0.1303023099899292, -0.6780405044555664, 0.17878016829490662, -0.07015763968229294, 1.2169044017791748]","[-0.1521325707435608, -0.503592848777771, 0.3541252613067627, 0.044872626662254333, 0.4068530201911926, 0.05991562083363533, -0.14808247983455658, 0.0694308876991272, -0.2959223985671997, 0.5042427182197571, -0.406011700630188, -0.04537704586982727, 0.4134478271007538, -0.39174264669418335, 0.3726930618286133, 0.029695935547351837, 0.6737937331199646, 0.45274317264556885, -0.037261106073856354, 0.0812506377696991, -0.7963412404060364, 0.3887011408805847, 0.2680981755256653, 0.1303023099899292, -0.6780405044555664, 0.17878016829490662, -0.07015763968229294, 1.2169044017791748]",-5.7,0.092307692,0.136363636,0.320754717,0.1
68236,CC1=NC2=CC=CC=C2C(=O)O1,"[-2.776933431625366, -1.9012337923049927, -0.2882477641105652, 2.7833173274993896, 2.1835832595825195, -1.4431002140045166, -0.20694753527641296, 2.0509471893310547, 0.47784727811813354, 0.7204028367996216, 0.7378829121589661, 0.33167991042137146, -0.8682527542114258, -0.048500820994377136, -0.7905802130699158, 0.15459203720092773, -3.5856993198394775, 1.7264621257781982, 2.0039889812469482, 2.762877941131592, 4.349711894989014, -3.0962448120117188, 0.31330204010009766, 3.804769515991211, -2.5873656272888184, -1.8558489084243774, 1.0315353870391846, 0.19688159227371216, 0.11359868943691254, -0.1756192147731781, 0.22560220956802368, 0.15892548859119415, 0.27784109115600586, 0.047132182866334915, 0.6076045632362366, 0.9538928270339966, 0.0631522387266159, 0.04888787120580673, -0.21333551406860352, 0.19085901975631714, 0.21755799651145935, 0.2544882893562317, -0.01967731863260269, 0.1906971037387848, -0.11670003086328506, -0.537248969078064, 0.05634694918990135, 0.06913312524557114, 0.057375166565179825, 0.5752493739128113, 0.6377111077308655, -0.39232000708580017, -0.18095692992210388, 0.5687628984451294, -0.18119895458221436, 0.4500034749507904]","[0.11359868943691254, -0.1756192147731781, 0.22560220956802368, 0.15892548859119415, 0.27784109115600586, 0.047132182866334915, 0.6076045632362366, 0.9538928270339966, 0.0631522387266159, 0.04888787120580673, -0.21333551406860352, 0.19085901975631714, 0.21755799651145935, 0.2544882893562317, -0.01967731863260269, 0.1906971037387848, -0.11670003086328506, -0.537248969078064, 0.05634694918990135, 0.06913312524557114, 0.057375166565179825, 0.5752493739128113, 0.6377111077308655, -0.39232000708580017, -0.18095692992210388, 0.5687628984451294, -0.18119895458221436, 0.4500034749507904]",-5.3,0.346153846,0.233333333,0.131147541,0.226415094
